Name of the Company,Total no of candidates placed
M/s. Cognizant Technology Solutions India Ltd,292
M/s. Wipro Technologies,179
M/s. Infosys Ltd,160
M/s. Accenture Services,383
M/s. Soliton Technologies Pvt Ltd.,6
M/s. Vembu Technologies,3
M/s. Tech Mahindra (B.Sc CT / IT / SE),22
M/s. Strategi Automation,1
M/s. VA Tech Webag,1
M/s. Asahi India Glass Ltd,1
M/s. Zifo Technologies,2
M/s. Owler Inc,1
M/s. Other Software & Core Companies,236
M/s. Infosys Limited (B.Sc ? CT / IT / SE),26
M/s. Wipro Technologies (B.Sc ? CT / IT / SE),10
M/s. Cognizant Technology Solutions (B.Sc ? CT / IT / SE),19
