Name of the company,Total no of candidates placed
"M/s. Soliton Technologies, Coimbatore",2
"M/s. Sirius, Chennai",2
"M/s. Zoho Corporation, Chennai",25
"M/s. Vuram Technology Solutions Pvt Ltd., Trichy",2
M/s. Honeywell,2
M/s. CodaGlobal,3
M/s. Amazon,2
M/s. Titan,10
M/s. Renault Nissan,8
M/s. Emerson (Fisher Engineering Center),11
M/s. Roots Industries,5
"M/s. Accenture Services, Bangalore",203
"M/s. Infosys Ltd, Bangalore",75
"M/s. Cognizant Technology Solutions, Chennai",139
M/s. Wipro Technologies (National Level Talent Hunt),14
M/s. TCS,30
M/s. RANE,4
M/s. Ashok Leyland,1
M/s. Hi-Tech Calibration,1
M/s. TAFE,1
M/s. Brakes India,4
M/s. Sanmar Engg.,2
M/s. Delphi TVS,14
"M/s. Innoventes Technologies India Pvt Ltd, Bangalore",3
M/s. Tringapps INC,3
"M/s. SmartDV Technologies, Bangalore",4
M/s. VA Tech Wabag,2
M/s. Strategi Automation,2
"M/s. Valeo India Pvt Ltd, Chennai",2
M/s. Cognizant Technology Solutions (CT UG),10
M/s. Infosys Ltd (Software Division),27
"M/s. Unilogic Technologies, Coimbatore",3
"M/s. Mistral Solutions, Chennai",6
M/s. First American (India),3
"M/s. Amphisoft Technologies Pvt Ltd, Coimbatore",1
"M/s. Data Patterns (India) Pvt Ltd (Indus Teqsite), Chennai - M",1
"M/s. Aspire Systems, Chennai",4
"M/s. Zifo RnD Solutions, Chennai",1
"M/s. Xoriant Solutions Pvt Ltd., Bangalore",2
"M/s. Newgen Software Technologies Pvt Ltd, Chennai",7
M/s. IVTL Infoview Technologies,9
M/s. Wipro (WASE),11
"M/s. Redplanet Consulting, Chennai",3
"M/s. Octoze, Chennai",4
"M/s. L & T Infotech, Chennai",5
"M/s. Verticals Solutions, Chennai ( Motherson)",2
M/s. Financial Software Solutions,6
M/s. Swiggy,2
M/s. Mallow Technologies,2
M/s. Sri Sakthi Engineering,1
M/s. Karvy Stock Brocking Ltd,5
"M/s. Aurum Info Solutions (JMAN Group), Chennai",4
M/s. IBM India Pvt Ltd,1
M/s. Optima Heat,5
M/s. Vinayak Infotech,1
M/s. VVDN Technologies,1
M/s. Base Automation,3
M/s. Malar Electronics,2
M/s. HMS Medical Systems,1
M/s. Diabetic Footcare,2
M/s. Pantec Solutions,5
M/s. Vi-Micro Systems,2
M/s. Lubdub Medical Systems,3
M/s. ITC Ltd (Foods Division),2
M/s. Adroit Power Systems,2
M/s. Fame Technologies,3
M/s. Innova Solutions,1
"M/s. Enterprise IT Solutions, Coimbatore",2
M/s. Dairy Day,6
M/s. Advantech Solutions,5
M/s. Salzer Electronics,5
M/s. Bimetallic Bearing,2
M/s. British Engines,1
M/s. Bull Machines,2
M/s. Festo India,2
M/s. Innovative Engineering Solution,1
M/s. Moog,5
M/s. Ampire Vehicles,4
M/s. Next First,3
M/s. Simens,2
M/s. SNF Components,2
M/s. D4E Network,1
M/s. Super Auto forge,2
M/s. Tespa Robotics,2
M/s. Vasantha Automation,2
M/s. Padmavahini Transformers Pvt Ltd,3
M/s. Motherson Automotive,2
M/s. Alfa Switchgear Systems,2
M/s. DMW CNC Solutions,1
M/s. Harita Seating Systems Ltd,2
M/s. Sree Saravana Engg. Bhavani Pvt Ltd,19
M/s. SAI Saran Electronics,4
M/s. Sakthi Auto Component Ltd,53
M/s. Phoenix Medical Systems,5
M/s. Everest IMS,4
M/s. Intech Systems,1
M/s. Spintec Engineering Private Limited,4
M/s. Severn Glocon India,1
M/s. Sri Chem & Saravana Dye Chem,2
M/s. Excelacom,1
M/s. Arwizon,1
M/s. Sim Infosystems,2
M/s. Freedom Opthalmic Pvt Ltd,3
M/s. Weberrax,7
M/s. Amazon (BPO),6
M/s. SKM Engg Products,2
M/s. KRISAM Automation Pvt Ltd,9
M/s. Tube Products of India (Murugappa Group),3
M/s. Kellog Brown & Root Engineering and Construction India Pvt Ltd (KBR),2
M/s. Proodle Hospitality Services (P) Limited,6
City Union Bank,8
M/s. JM Frictech India Pvt Ltd,1
M/s. Teemage Precast IN,1
M/s. LGC Petrochemical India Pvt Ltd,8
M/s. Consolidated Construction Consortium Ltd (CCCL),2
M/s. Elmex,1
M/s. Pontus Pack Pvt Ltd,3
M/s. Spoorfy. Coimbatore,2
"M/s. Kalycito Infotech Pvt Ltd, Coimbatore",3
"M/s. Examly, Bangalore",1
"M/s. Test & Verification Solutions (T & VS), Chennai",2
"M/s. Decathlon, Coimbatore",10
"M/s. Sakthi Constructions, Coimbatore",5
"M/s. Ankusam Engineering, Coimbatore",6
M/s. Codingmart,1
M/s. Jwala Industries,2
"M/s. Vernalis, Coimbatore",1
M/s. Ariya Hi-Tech Pipe & Component Ltd,3
M/s. Sakthi Knitting Pvt Ltd,3
M/s. Valued Epistemics (GREdge),2
M/s. Domex e-Data Pvt Ltd,7
M/s. GH Induction India Pvt Ltd,1
M/s. Paperman Foundation of India,1
M/s. Manickasundaram Associates,7
Other Software & Core Companies,322
