S. No,Name of the Skill Enhancement programme,Category,Year of implementation,Branches Covered,Number of students Attended,Training for Batch,Date,no of hours
1,Online Training on Quantitative Aptitude and Logical Reasoing,Aptitude,2021-2022,All BE/BTECH/BSc/ MSc,1790,2023,07.06.2021- 14.06.2021,25
2,Online Software Technical Training Programme,Technical,2021-2022,All BE/BTECH/BSc/MSc & MCA,500,2023,21.06.2021- 07.09.2021,45
3,Software Technical Coding Boot Camp,Technical,2021-2022,All BE/BTECH/BSc/MSc & MCA,75,2022,08.07.2021 17.07.2021,60
4,Data Structures Refreshers Training Programme,Technical,2021-2022,All BE/BTECH/BSc/MSc & MCA,403,2022,17.07.2021 18.07.2021,12
5,Puzzle Solving & Essay Writing,Technical,2021-2022,All BE/BTECH/BSc/MSc & MCA,1075,2022,19.07.2021 23.07.2021,30
6, Online Company Specific Aptitude Training Programme for 2022 batch Students,Aptitude,2021-2022,All BE/BTECH/BSc/MSc & MCA,980,2022,26.07.2021 14.08.2021 & 17.08.2021 27.08.2021,60
7,Online Company Specific Technical Training Programme for 2022 batch Students,Technical,2021-2022,All BE/BTECH/BSc/MSc & MCA,1053,2022,26.07.2021 14.08.2021 & 17.08.2021 27.08.2021,60
8,Coding Carnival 2021- V2.0,Technical,2021-2022,All BE/BTECH/BSc/MSc & MCA,2000,2022,25.08.2021 08.09.2021 & 09.09.2021,18
9,Online CTS Specific placement training program for 2022 batch students,Technical,2021-2022,All BE/BTECH/BSc/MSc & MCA,980,2022,28.08.2021 30.08.2021 & 02.09.2021,18
10,Online Accenture & Infosys Specific Placemnt Training program for 2022 batch Students,Technical,2021-2022,All BE/BTECH/BSc/MSc & MCA,1724,2022,09.09.2021 11.09.2021 & 30.09.2021,24
11,Online Interview Preparation program (one to one)interview for 2022 batch students,Technical,2021-2022,All BE/BTECH/BSc/MSc & MCA,546,2022,15.09.2021 21.09.2021,36
12,Wipro company specific placement training program for 2022 batch BSc students,Technical,2021-2022,BSc,95,2022,04.10.2021 06.10.2021,18
13,Inception day Coding Contest,Technical,2021-2022,All BE/BTECH/BSc/MSc & MCA,2000,2023 & 2024,11-11-2021,6
14,Quantitative Aptitude & Logical Reasoning for 2023 batch of MCA Students,Aptitude,2021-2022,MCA,111,2023,22.11.2021 24.11.2021,18
15,Quantitative Aptitude &Company Speific technical training for 2022 batch BSc,Technical,2021-2022,BSc,59,2022,29.11.2021 04.12.2021,36
16,Softskills Training Programme for 2023 batch students,Soft Skills,2021-2022,All BE/BTECH/BSc/MSc & MCA,1701,2023,29.11.2021 01.12.2021,18
17,Skill Up training Programme for MCA 2022 Batch,Technical,2021-2022,MBA,103,2022,13.12.2021 15.12.2021,18
18,Personal & Professional Grooming Training Programme for MBA 2022 Batch,Soft Skills,2021-2022,MBA,90,2022,06.12.2021 09.12.2021,24
19,"Softskill, Communication Aptitude Program for 2022 Batch of Chemical and FT Students",Soft Skills,2021-2022,"BE- Chemical, FT",100,2022,03.12.2021 31.12.2021,42
20,Core Training By Industry Experts to yet to be placed students of 2022 Batch - Civil,Technical,2021-2022,BE-Civil,72,2022,03.12.2021 24.12.2021,42
21,Core Training Programme for 2022 Batch Yet to be Placed Students Of Automobile,Technical,2021-2022,BE- Automobile,40,2022,03.12.2021 24.12.2021,42
22,Software Technical Training programme for 2023 batch students,Technical,2021-2022,All BE/BTECH/BSc/MSc & MCA,1428,2023,02.12.2021 24.12.2021,120
,,,,,,,Total Hours,772
