Name of the Company,Total no of candidates placed
M/s. Jaro Education,3
M/s. Vistaar Finance,1
M/s. Accenture Services,457
M/s. Cognizant Technology Solutions India Ltd,160
M/s. Infosys Ltd,169
M/s. Wipro Technologies,132
M/s. Renault Nissan,15
M/s. Hewlett-Packard,40
M/s. IVTL Infoview,5
M/s. Hyundai Motors,1
M/s. Vedanta Resources (Sterlite copper),10
M/s. Rane Group,3
M/s. Fanuc India Pvt Ltd,2
M/s. Lucas TVS,3
M/s. Vi-Microsystems,5
M/s. Strategi Automation Solutions Pvt Ltd,2
M/s. Wabco India Ltd,3
M/s. Sirius,5
M/s. Vernalis,6
M/s. Zoho Corporation,3
M/s. Odessa Technologies,3
M/s. Mallow Technologies,1
M/s. Vuram Technologies,4
M/s. SmartDV Technologies,8
M/s. Anritsu India Pvt Ltd,5
M/s. Kalycito Infotech Pvt Ltd,3
M/s. Mindtree Technologies,4
M/s. VA Tech Wabag Limited,1
M/s. Soliton Technologies Pvt Ltd,3
M/s. L&T Infotech,3
M/s. URC Construction,3
M/s. Sakthi Constructions,6
M/s. Hatsun Agro Product Ltd,8
M/s. Cookieman,1
M/s. Micropack Pvt Ltd,6
M/s. JSE Engineering,15
M/s. GoDB Technologies,1
M/s. Other Software & Core Companies,298
